district,grid,ucr_ncic_code,latitude,longitude
3,888,2399,38.55456463,-121.4106138
6,1402,5404,38.52199211,-121.4309007
1,353,2299,38.62453557,-121.5264198
1,414,2404,38.62504428,-121.4978986
3,768,2299,38.56984785,-121.4737052
5,1631,2204,38.46518116,-121.4461653
5,1645,1315,38.4497213,-121.4258719
5,1623,2404,38.47143667,-121.427615
2,558,5213,38.61972226,-121.4152799
5,1363,2303,38.49570962,-121.477826
2,567,7000,38.62070956,-121.4226958
1,435,5213,38.61488957,-121.4934272
3,741,7000,38.58239328,-121.5059336
6,1071,7000,38.53116122,-121.4661214
2,603,3532,38.60641085,-121.4473501
3,745,1299,38.57682477,-121.4882896
1,344,2999,38.63207451,-121.5287747
2,613,1315,38.60108154,-121.456171
5,1501,2404,38.47489873,-121.4996944
1,103,2999,38.67510292,-121.5226753
5,1618,2204,38.46594742,-121.4513773
6,1406,5400,38.51055016,-121.409083
3,841,2506,38.570664,-121.465448
2,233,1315,38.6432324,-121.4563115
1,106,3572,38.67318557,-121.5035491
1,115,2308,38.66695301,-121.5088707
5,1644,2299,38.45025842,-121.443044
6,1401,2299,38.52337984,-121.4378491
4,906,5400,38.56159185,-121.4923822
3,844,2308,38.56438552,-121.4516767
5,1359,7000,38.49603233,-121.4619674
6,1084,2404,38.52967087,-121.4469794
5,1606,5401,38.47425283,-121.4368769
3,735,7000,38.57941421,-121.4864344
5,1606,7000,38.47425283,-121.4368769
4,1278,2303,38.49714012,-121.5136898
3,748,7000,38.57201606,-121.4692575
2,564,2404,38.61859754,-121.4382569
3,738,5401,38.57348427,-121.4678719
2,551,2204,38.61197962,-121.4578062
1,411,7000,38.62099831,-121.5104473
6,1404,5307,38.51755951,-121.4142712
2,514,2299,38.63465784,-121.4392401
2,224,5401,38.65509277,-121.4477394
4,1259,1299,38.5076709,-121.5412748
2,213,7000,38.65966202,-121.4535351
2,552,2999,38.61499077,-121.4534714
1,136,7000,38.65699142,-121.5038615
2,516,7000,38.63500106,-121.4213652
5,1359,7000,38.49601155,-121.4592772
6,1041,2605,38.54182394,-121.4709505
2,237,7000,38.63963285,-121.4130509
1,333,2604,38.63351404,-121.5282646
2,568,2203,38.61199425,-121.4244182
3,747,2310,38.57546355,-121.4761823
4,1252,7000,38.50771305,-121.5534498
4,1251,2604,38.51617367,-121.5286379
2,626,2305,38.60088271,-121.4352821
1,403,2605,38.63244741,-121.4903723
1,410,2604,38.62275946,-121.513946
4,1262,7000,38.51110856,-121.5343434
2,564,7000,38.61286644,-121.4444547
1,434,2604,38.61301252,-121.4993798
1,473,2404,38.60758365,-121.5411045
2,224,7000,38.65509277,-121.4477394
4,1225,5307,38.5206653,-121.515833
1,353,1313,38.62749128,-121.528707
3,888,3572,38.55456463,-121.4106138
1,123,7000,38.66227019,-121.5291389
3,877,7000,38.5695415,-121.409084
1,145,2799,38.65731154,-121.5119979
6,1042,7000,38.54072015,-121.4620361
4,1205,7000,38.53437911,-121.5068742
2,546,7000,38.62194039,-121.431713
5,1639,7000,38.46337225,-121.4161718
3,1116,7000,38.54929974,-121.3882189
5,1618,2204,38.46449565,-121.456788
3,732,2999,38.58259727,-121.500996
6,1054,2204,38.54100057,-121.4458147
6,1064,3599,38.53725889,-121.4477561
4,1207,7000,38.52545723,-121.5139339
2,552,7000,38.61361383,-121.454378
3,742,2303,38.58062786,-121.5014996
5,1381,7000,38.48682651,-121.5001978
3,732,3599,38.58137649,-121.4974538
5,1605,7000,38.48023792,-121.4360926
3,715,7000,38.58472227,-121.4858505
2,606,7000,38.60666541,-121.422421
2,509,7000,38.63862878,-121.3815598
5,1603,2404,38.48420982,-121.448306
3,899,2399,38.56047289,-121.3902704
2,222,2605,38.65394829,-121.462463
2,544,7000,38.62221222,-121.4447319
2,546,2604,38.62524321,-121.4304825
5,1633,5309,38.46027205,-121.4304773
2,568,2203,38.61199425,-121.4244182
2,619,7299,38.60154457,-121.42747
2,564,7000,38.61317258,-121.4424469
4,985,7000,38.52199137,-121.4990149
2,525,3599,38.63070055,-121.440864
2,508,2299,38.6374478,-121.3846125
3,879,2604,38.56839814,-121.4313525
5,1501,7000,38.48020103,-121.5015786
1,333,1602,38.63910642,-121.528
3,763,7000,38.57543889,-121.5029735
5,1369,2404,38.49203951,-121.4613302
1,102,2605,38.6776884,-121.5345401
6,1041,5401,38.54199544,-121.4712254
4,1265,2404,38.5127908,-121.5313723
3,776,2303,38.56796664,-121.4852542
4,1346,7000,38.50488174,-121.4804148
4,985,7000,38.52199137,-121.4990149
2,226,7000,38.64823548,-121.4261249
1,337,2308,38.63589608,-121.5055312
2,504,7000,38.63869884,-121.4424398
1,136,2204,38.66157492,-121.4969793
5,1623,2303,38.47415723,-121.4296995
3,1115,2308,38.54818818,-121.3940644
3,1106,7000,38.5530906,-121.3751255
2,226,7000,38.64770425,-121.4242104
3,767,5400,38.56737967,-121.4786515
1,444,2404,38.60972461,-121.4953467
5,1639,3599,38.45718227,-121.4133413
3,736,5400,38.5777553,-121.4838823
5,1633,2404,38.45964489,-121.4291448
6,1445,2399,38.50926564,-121.4129728
2,516,2204,38.63535055,-121.4281542
1,416,7000,38.62642643,-121.487454
3,724,999,38.58432423,-121.4902264
3,766,5400,38.57001564,-121.4872296
6,1084,5401,38.52496323,-121.4438874
6,1084,5404,38.52517945,-121.4443121
2,541,1315,38.62009985,-121.4590851
2,567,7000,38.6176064,-121.4204494
6,1051,2999,38.54069286,-121.4728119
4,906,2999,38.56108765,-121.4913716
2,537,5400,38.62764502,-121.4258496
6,1084,7000,38.52517945,-121.4443121
1,305,2303,38.65543537,-121.5223763
5,1369,1299,38.49250972,-121.4579445
3,701,4902,38.60057486,-121.4940223
2,541,7000,38.61712192,-121.4587997
2,541,7000,38.61712192,-121.4587997
5,1654,2404,38.44227407,-121.4127165
2,517,2299,38.63425266,-121.4177759
4,908,2308,38.55701398,-121.4762723
3,725,7000,38.58376222,-121.4848464
6,1041,2299,38.54242302,-121.4674602
3,721,2308,38.59572389,-121.5050785
2,601,2404,38.609884,-121.46479
1,401,2299,38.62798992,-121.5092581
2,618,2299,38.60240036,-121.4295032
3,765,7000,38.57117547,-121.4924504
6,1445,2204,38.50482198,-121.4112131
1,435,7000,38.61328867,-121.494681
2,551,7000,38.61112465,-121.4593596
1,414,7000,38.62581805,-121.4971301
1,442,2404,38.61102318,-121.5119472
2,556,2308,38.62266231,-121.4260893
3,767,5401,38.56788759,-121.4792459
1,409,5401,38.63659439,-121.4763493
6,1084,5212,38.52654807,-121.4434066
5,1359,5401,38.49601155,-121.4592772
2,606,2404,38.60311006,-121.4269745
1,435,2404,38.61589867,-121.4924786
2,603,3599,38.60880668,-121.4528434
6,1084,5401,38.53137433,-121.4506403
6,1084,5401,38.5313798,-121.4523742
3,899,2299,38.56165546,-121.3880115
1,309,2299,38.64316291,-121.4745819
6,1405,2999,38.52225475,-121.4114993
2,233,1315,38.64390931,-121.4507882
6,1409,7000,38.51585237,-121.3675001
6,1053,2404,38.54020494,-121.4505653
5,1623,3599,38.47226256,-121.4336162
2,203,2404,38.66757714,-121.4538176
3,731,1315,38.5842425,-121.5036468
3,737,1315,38.57562427,-121.4758978
1,104,7000,38.67667622,-121.5088422
2,606,1313,38.60667473,-121.4226379
3,782,2303,38.57016732,-121.5069731
2,567,2404,38.61472939,-121.4300065
1,429,5401,38.61935446,-121.4755343
2,564,2404,38.61292672,-121.4415704
5,1635,2404,38.46292264,-121.4284026
5,1623,7000,38.46377975,-121.4312631
6,1002,7000,38.5550754,-121.4684533
3,725,2299,38.58245172,-121.4877874
3,847,2299,38.55645223,-121.4289124
6,1035,7000,38.54470924,-121.4490342
5,1618,2304,38.4625133,-121.4603514
1,104,2204,38.67660642,-121.5190467
4,1261,2999,38.50751789,-121.5477443
3,778,2999,38.56502139,-121.4763254
6,1111,2304,38.54783739,-121.4243203
3,1102,2999,38.55137298,-121.4061503
1,440,2299,38.60824476,-121.5192803
6,1032,2309,38.54468278,-121.4591392
6,1042,2604,38.54118802,-121.459316
2,531,3599,38.62769343,-121.4634451
5,1501,2204,38.47687825,-121.5002604
5,1602,7000,38.48227523,-121.4584554
2,203,2204,38.66254563,-121.451289
4,1253,2304,38.51484622,-121.5249979
1,401,2803,38.62743901,-121.5056249
5,1504,3562,38.47663386,-121.4803303
5,1654,5400,38.44973707,-121.4180465
1,428,7000,38.61880719,-121.4796125
5,1654,2999,38.44803746,-121.4078016
4,1262,2203,38.51042757,-121.5419071
4,1296,2299,38.48243228,-121.514852
6,1013,7000,38.55155803,-121.4684935
3,715,7000,38.58612197,-121.48322
2,605,7000,38.60879322,-121.4306804
3,709,1315,38.59444259,-121.4814732
4,1296,2404,38.48369463,-121.515322
6,1034,2299,38.5454679,-121.4573325
2,505,3599,38.64036498,-121.4321298
3,748,2399,38.57201606,-121.4692575
4,908,3699,38.55531685,-121.4792852
2,513,2999,38.6358152,-121.4446434
2,637,5400,38.59156169,-121.4200242
6,1134,2404,38.53444222,-121.4079133
3,744,3532,38.57920289,-121.493943
6,1114,7000,38.54867149,-121.4230827
2,514,2404,38.63482334,-121.4416684
2,541,3699,38.62073056,-121.4618489
1,447,1313,38.60930026,-121.4770641
1,418,2299,38.62630755,-121.4756162
2,541,7000,38.62073678,-121.4572951
2,567,7000,38.61538617,-121.4234494
6,1422,7000,38.51364018,-121.4211919
2,531,5401,38.62866431,-121.4631893
5,1618,2404,38.46252937,-121.4585038
2,523,5400,38.62968232,-121.446116
3,715,7000,38.58514056,-121.4854381
3,872,5401,38.57630105,-121.4319262
2,613,7000,38.60527526,-121.4516527
3,727,2310,38.57848338,-121.4742082
6,1041,7000,38.54102578,-121.4657714
4,1251,3532,38.51348202,-121.532542
3,785,7000,38.56382548,-121.491401
2,606,2404,38.60739495,-121.4205954
3,751,2404,38.57962095,-121.5068273
1,444,2604,38.6089261,-121.4935886
2,531,1315,38.62275189,-121.4642874
1,145,2299,38.65941872,-121.5096441
3,709,2303,38.59530776,-121.4839757
5,1604,5401,38.47433302,-121.4398174
5,1654,5401,38.43840598,-121.4183343
6,1034,1212,38.54454369,-121.4558291
2,626,2299,38.59645425,-121.4382598
6,1054,2309,38.54061027,-121.4474575
6,1445,5707,38.51007761,-121.4095726
2,619,2203,38.60027317,-121.4252477
2,628,2299,38.59808509,-121.4275537
3,709,3572,38.59530776,-121.4839757
3,847,5400,38.55614777,-121.4267606
2,526,2399,38.63228581,-121.4303283
5,1654,5400,38.44973707,-121.4180465
2,628,2799,38.59664183,-121.423349
2,505,2203,38.63931448,-121.4295789
6,1084,2404,38.52823386,-121.4456482
5,1501,1313,38.47602372,-121.5014051
5,1644,2999,38.45541339,-121.4420784
3,742,5401,38.58057689,-121.5036968
3,765,5400,38.57218405,-121.4907608
5,1363,7399,38.49543922,-121.4799768
3,766,2204,38.57163324,-121.4854271
4,964,7000,38.52736754,-121.504668
4,1227,2204,38.52062063,-121.5084967
2,545,7000,38.62635393,-121.4392039
3,747,2404,38.57320247,-121.4747123
3,746,3605,38.57411723,-121.4827193
1,435,2404,38.61421301,-121.4925571
2,510,7000,38.63939388,-121.4604896
3,736,2299,38.57725503,-121.4806992
2,541,7000,38.61692679,-121.4593506
3,841,2299,38.57218529,-121.4642683
3,741,2308,38.58245363,-121.5052755
4,956,2303,38.53284086,-121.4959218
6,1064,3599,38.53553572,-121.4468745
4,906,2404,38.56159185,-121.4923822
3,766,7000,38.57240323,-121.4856804
1,429,7000,38.61124309,-121.4755625
4,937,5400,38.54106323,-121.47576
2,602,2404,38.60986284,-121.4590542
6,1054,2204,38.542611,-121.4443687
3,742,2299,38.58052209,-121.4986248
5,1502,7000,38.47764806,-121.4891676
1,145,2308,38.65735092,-121.5102676
2,509,7000,38.63862878,-121.3815598
2,544,7000,38.62198839,-121.4461582
2,509,7000,38.63862878,-121.3815598
2,545,1315,38.62219451,-121.438211
3,1102,5400,38.54940296,-121.4091389
1,406,1299,38.63040165,-121.4780296
6,1421,7000,38.51332326,-121.4314836
1,401,2404,38.62875561,-121.5085108
3,742,2404,38.58184562,-121.5011657
4,1326,7000,38.51030591,-121.4787921
2,525,7000,38.62982199,-121.4414625
3,742,4803,38.57997771,-121.4978345
2,212,7000,38.65899218,-121.4600156
1,307,2299,38.65023973,-121.5085026
6,1142,2404,38.53114891,-121.4223993
4,998,2999,38.51852,-121.475971
5,1642,2404,38.45790447,-121.437086
1,116,2299,38.67549475,-121.4977777
5,1624,1299,38.47322263,-121.4250682
6,1152,1299,38.52507079,-121.4199387
2,526,1315,38.63253761,-121.4257122
2,237,2404,38.64688728,-121.4140661
4,1289,2404,38.49297696,-121.5071286
5,1612,7000,38.47920034,-121.4638793
3,742,7000,38.57881567,-121.4970836
1,435,1299,38.61402379,-121.4926144
4,1356,1299,38.49852712,-121.4742273
3,734,7000,38.58053662,-121.4906312
2,567,2404,38.61499899,-121.423449
3,766,2404,38.5704109,-121.4841033
3,736,7000,38.57704873,-121.4812324
5,1396,7000,38.48308908,-121.4790012
1,422,7000,38.61733037,-121.510595
1,419,5400,38.62753184,-121.4755302
1,306,2299,38.65357208,-121.5095127
1,429,2305,38.6208506,-121.4700175
3,785,3599,38.56363425,-121.4885101
2,543,2404,38.62053806,-121.4489382
2,603,3532,38.60765045,-121.4504831
3,744,2308,38.57900945,-121.489911
1,419,2299,38.6296517,-121.4755286
5,1621,1315,38.4735803,-121.4443013
2,551,3572,38.61110308,-121.4618026
2,203,7000,38.66166376,-121.4558592
1,336,2299,38.64420903,-121.5129034
6,1014,2604,38.54944953,-121.4614493
6,1445,2404,38.50098733,-121.41042
2,542,2299,38.62255411,-121.4560212
3,772,2307,38.57308322,-121.5075511
3,772,2307,38.57308322,-121.5075511
3,772,2307,38.57308322,-121.5075511
4,1227,2299,38.52186986,-121.5116968
1,425,2299,38.61775373,-121.4947194
2,222,2308,38.65467106,-121.4625907
5,1361,2604,38.49502703,-121.5030125
2,543,5401,38.61867245,-121.4481266
5,1639,7000,38.46101961,-121.414127
4,1292,1299,38.48531018,-121.5356226
2,238,1315,38.64336682,-121.4216859
3,721,2404,38.59667389,-121.5056982
6,1011,5299,38.55513128,-121.4728661
6,1084,2999,38.52512948,-121.4487903
3,746,2404,38.57372161,-121.4826732
4,1346,7000,38.50290045,-121.4819248
1,123,2305,38.66172026,-121.527605
3,728,2404,38.58048952,-121.4715453
3,701,2203,38.60055347,-121.4985749
3,888,2299,38.55463027,-121.4116414
3,747,3599,38.5722972,-121.4773354
2,222,2299,38.65300918,-121.4618713
4,1208,2999,38.52845688,-121.5128857
5,1371,7000,38.48972495,-121.5024485
3,742,1299,38.57905171,-121.4976906
4,1265,2404,38.51382164,-121.5269234
2,504,2999,38.63684482,-121.4423353
1,106,2303,38.68251335,-121.5015993
2,563,7000,38.61586018,-121.4445924
4,956,999,38.53402736,-121.4978746
4,956,7000,38.53402736,-121.4978746
4,957,7000,38.53432365,-121.488409
2,507,2404,38.63908268,-121.4042501
3,718,7000,38.57984491,-121.4669044
2,501,2204,38.63535473,-121.4622882
1,402,2803,38.63365507,-121.500334
6,1411,7000,38.51928736,-121.3889165
4,907,7000,38.56010621,-121.4867588
6,1112,2204,38.5404985,-121.4212258
6,1041,2999,38.54219716,-121.4673115
6,1067,2404,38.53494151,-121.4335978
6,1132,2404,38.53243835,-121.4139778
4,969,7000,38.52718667,-121.4712477
1,353,2299,38.62688953,-121.5279374
3,705,5400,38.5923559,-121.4926811
2,568,2203,38.61199425,-121.4244182
4,1289,2605,38.49397262,-121.5075131
1,412,2399,38.62145778,-121.49973
2,604,2404,38.60929375,-121.4404159
3,744,3562,38.57920289,-121.493943
3,718,5400,38.57965854,-121.4681757
5,1603,7000,38.48235122,-121.4506994
4,1294,5400,38.47704073,-121.5231254
1,411,7000,38.62612259,-121.5047204
5,1605,7000,38.4797218,-121.440072
3,735,7000,38.57882476,-121.4878834
6,1407,2404,38.51839666,-121.3965716
1,102,2404,38.67803627,-121.5363804
1,304,2999,38.65333642,-121.5363135
4,1287,7000,38.49417981,-121.5235386
2,507,2404,38.63908268,-121.4042501
3,732,7000,38.58207989,-121.5000936
4,1225,2404,38.51896869,-121.5205386
2,619,2404,38.60027317,-121.4252477
6,1041,5401,38.54264475,-121.4703011
6,1133,2305,38.53069117,-121.4105872
2,567,2604,38.616307,-121.4225354
2,504,2605,38.63909731,-121.4413653
6,1422,2604,38.51364018,-121.4211919
6,1035,7000,38.54368712,-121.4443079
1,449,7000,38.60672341,-121.4755923
1,123,2204,38.66321971,-121.5276476
4,937,7399,38.54242538,-121.4757955
5,1387,7000,38.4876828,-121.4716869
3,772,2303,38.5740577,-121.5081215
5,1363,7000,38.49442501,-121.4749039
3,825,7000,38.56940412,-121.4417047
3,778,2404,38.56480438,-121.4781317
2,552,2404,38.6161168,-121.4529308
3,845,7000,38.56654113,-121.4436297
3,737,7000,38.57688189,-121.4783232
4,1264,2308,38.50336488,-121.5391044
3,742,7000,38.57991197,-121.4966071
5,1399,7000,38.48155327,-121.4608538
2,522,1602,38.63252107,-121.4529344
2,568,7000,38.61186919,-121.4235653
6,1041,5400,38.54121247,-121.4711438
3,879,7000,38.57024299,-121.4262591
3,1116,2999,38.54988284,-121.3883992
2,206,2404,38.66583461,-121.4267572
2,511,2404,38.64006189,-121.4530341
3,725,2399,38.58249661,-121.4892459
3,761,7399,38.57899998,-121.5073808
3,777,7000,38.56641822,-121.4828556
4,1251,2204,38.51270034,-121.5368634
5,1363,2999,38.49511942,-121.4760448
2,505,7000,38.6377679,-121.4300114
5,1369,5400,38.49362212,-121.458006
2,212,7000,38.65899218,-121.4600156
1,422,2404,38.61409015,-121.5086433
2,567,2204,38.61722561,-121.421177
1,478,2506,38.60845539,-121.5250742
3,754,7000,38.57734295,-121.4962474
5,1623,2506,38.4730026,-121.4333379
5,1396,2503,38.48646868,-121.4758183
4,957,5400,38.53563438,-121.4936121
3,737,5400,38.57706706,-121.4767617
2,525,2204,38.62916107,-121.437666
3,776,7000,38.56767025,-121.4852913
3,767,2404,38.56863488,-121.476897
1,421,2204,38.61619673,-121.5179002
3,736,7000,38.57777929,-121.479429
2,526,7000,38.63228581,-121.4303283
5,1645,7000,38.4497213,-121.4258719
2,526,7000,38.63070434,-121.4303689
3,762,2299,38.57759578,-121.506495
6,1013,7000,38.55378987,-121.466571
5,1654,2399,38.44313648,-121.4236588
3,732,7000,38.582786,-121.5027369
6,1068,3699,38.53424184,-121.428681
6,1041,2308,38.54364991,-121.4697342
4,936,2204,38.54844544,-121.4882798
3,726,5400,38.58138778,-121.483793
3,1115,5400,38.5470688,-121.3989901
5,1653,7000,38.44814292,-121.4281961
2,505,7000,38.63778289,-121.4336278
3,841,5400,38.56979971,-121.4679798
2,606,2204,38.60574184,-121.4277652
1,136,1313,38.66064286,-121.5030691
5,1506,2303,38.4801213,-121.4664854
2,236,2404,38.64426884,-121.4274874
3,736,7000,38.5777553,-121.4838823
4,1251,2204,38.51495249,-121.535615
5,1614,2204,38.48090489,-121.4584308
4,969,7000,38.52718667,-121.4712477
2,509,7000,38.63862878,-121.3815598
1,307,7000,38.64662608,-121.5027081
4,1311,7000,38.51408657,-121.5030091
4,908,3699,38.55531685,-121.4792852
4,958,7000,38.53881527,-121.479014
1,401,2604,38.62928795,-121.5064872
5,1607,7000,38.47428454,-121.4227089
1,106,1315,38.67081464,-121.5077758
1,427,7000,38.61668041,-121.488539
1,136,7000,38.66809307,-121.5064006
3,736,7000,38.579198,-121.4847429
4,904,2803,38.55864807,-121.5050314
3,741,2303,38.58245363,-121.5052755
6,1401,2204,38.51737845,-121.4347262
3,742,2399,38.57905171,-121.4976906
6,1041,3562,38.54121247,-121.4711438
1,401,7000,38.62942123,-121.5055446
4,969,2299,38.52488785,-121.4717471
2,504,7000,38.63869884,-121.4424398
3,746,7000,38.57629892,-121.4830358
2,545,2309,38.62675838,-121.4354096
5,1501,7000,38.47717845,-121.4972996
3,775,5401,38.56858874,-121.4955782
3,736,7000,38.57813402,-121.4807627
5,1503,7000,38.47753956,-121.4839042
3,1126,5400,38.54439581,-121.3908868
3,706,7000,38.59007055,-121.4856685
1,419,7000,38.62995233,-121.4727959
2,512,3562,38.63446573,-121.4495692
3,744,7000,38.57845904,-121.4946409
5,1605,2204,38.47889655,-121.4346919
2,601,5404,38.60894608,-121.4626763
4,1251,3572,38.51206582,-121.5423299
2,601,2404,38.60918097,-121.4618136
5,1383,5401,38.48540584,-121.4923996
5,1369,2299,38.49109084,-121.4634092
2,605,2203,38.60858334,-121.4326769
4,1262,2303,38.50422234,-121.5379108
6,1015,7000,38.5467716,-121.458959
5,1367,7000,38.49407763,-121.4673944
5,1367,7000,38.49407763,-121.4673944
5,1602,2604,38.48642245,-121.4568798
3,706,7000,38.5898202,-121.4812549
2,567,2404,38.61141174,-121.4343762
2,567,2404,38.61141174,-121.4343762
5,1399,2299,38.48160193,-121.4654193
6,1145,1299,38.5259245,-121.4084943
2,619,2303,38.59994183,-121.4276508
1,412,2303,38.6270814,-121.4984478
3,746,7000,38.57421273,-121.4869021
5,1602,1602,38.4831539,-121.4549413
3,774,2299,38.56970242,-121.49847
3,774,2299,38.56970242,-121.49847
5,1654,2308,38.43922779,-121.4190329
4,1356,7000,38.49904003,-121.4795627
3,801,2303,38.58138835,-121.4622017
2,567,2404,38.61319803,-121.4262914
6,1402,2204,38.52298255,-121.4307286
3,841,2999,38.57235387,-121.4639068
5,1631,7000,38.46405311,-121.4405755
1,436,2299,38.61582702,-121.4886746
3,888,1299,38.55424238,-121.4142079
2,619,1299,38.60027317,-121.4252477
6,1005,2404,38.55441531,-121.4575722
6,1042,7000,38.53952458,-121.4647617
5,1653,2204,38.44734129,-121.4287891
2,226,2203,38.64543073,-121.419831
2,509,7000,38.63862878,-121.3815598
3,742,3562,38.58026647,-121.4979339
5,1639,1315,38.46689445,-121.4170895
3,746,7000,38.57484527,-121.4821859
6,1064,2803,38.53613202,-121.4452442
3,814,2404,38.57097333,-121.4408319
2,617,7000,38.60093347,-121.422191
5,1367,2308,38.49407763,-121.4673944
5,1503,2501,38.47987012,-121.4806735
6,1443,7000,38.50576856,-121.4181141
2,613,3532,38.60108154,-121.456171
2,604,7000,38.60915546,-121.4430593
3,768,5400,38.56465716,-121.471708
1,145,2204,38.6626053,-121.5080076
2,602,2404,38.6084813,-121.4619309
1,405,7000,38.6319462,-121.4826112
2,551,2404,38.61216003,-121.4570454
6,1081,7000,38.5272962,-121.4652065
5,1651,2204,38.44303164,-121.4363617
1,473,2404,38.60376214,-121.5399288
3,765,7000,38.56953204,-121.4890204
5,1603,2308,38.47531506,-121.4487485
3,736,7000,38.57717555,-121.4782896
3,766,2399,38.56957983,-121.4818568
4,1333,2404,38.51016505,-121.4884492
4,908,2299,38.55850838,-121.4794507
3,737,2299,38.57562427,-121.4758978
5,1602,7000,38.48642245,-121.4568798
2,619,2404,38.60154457,-121.42747
2,567,2404,38.61111345,-121.4323383
1,102,2204,38.67744929,-121.5365419
5,1502,7000,38.48091284,-121.4916281
4,928,7000,38.5501848,-121.4768749
2,568,2404,38.61319529,-121.4235266
4,958,2404,38.53600493,-121.4799575
2,238,2404,38.64244876,-121.4226037
6,1056,7000,38.5397347,-121.4384125
5,1603,1315,38.47435531,-121.448452
6,1412,7000,38.51597101,-121.4299421
2,606,7000,38.60667473,-121.4226379
3,726,7000,38.58248128,-121.4833164
6,1084,1315,38.53157177,-121.450006
4,988,7000,38.52420377,-121.4716718
6,1001,2305,38.55612335,-121.4724356
4,1202,2501,38.53747149,-121.5076255
6,1064,2305,38.53291921,-121.4446609
2,545,7000,38.62689633,-121.4378029
5,1602,7000,38.48474254,-121.4564244
3,742,7000,38.57905171,-121.4976906
5,1603,2404,38.47531506,-121.4487485
1,425,2299,38.61775373,-121.4947194
5,1653,2999,38.44865752,-121.430088
2,626,2299,38.59829761,-121.4344803
4,1262,2999,38.51235896,-121.5339089
1,348,2999,38.63582718,-121.5080524
4,1265,2299,38.51282612,-121.5319557
1,429,7000,38.61609551,-121.4714109
1,447,2399,38.61011609,-121.478346
6,1013,2999,38.5532147,-121.467488
3,724,2299,38.58378853,-121.4901707
3,785,7000,38.56360559,-121.4894825
2,511,2404,38.63995013,-121.4514665
6,1017,2204,38.55239225,-121.4444079
6,1064,7000,38.53139129,-121.4455607
2,513,7000,38.63484756,-121.4438493
4,917,7000,38.55490411,-121.485233
2,226,2404,38.64723814,-121.4199458
3,856,7000,38.55280884,-121.4278994
3,738,7000,38.57348427,-121.4678719
6,1445,2204,38.49980195,-121.4149165
1,410,2999,38.62535356,-121.5104944
2,514,2299,38.63577799,-121.4409047
4,1287,1602,38.49324791,-121.5219586
3,747,2999,38.57428281,-121.4792272
6,1005,5404,38.55347187,-121.4566492
4,1279,7000,38.49814667,-121.5101504
3,785,2203,38.5646481,-121.4911364
3,876,2299,38.56162032,-121.415207
3,831,1315,38.57301361,-121.4658432
5,1391,3599,38.48131474,-121.5013123
2,563,5212,38.61448373,-121.4496149
3,811,2999,38.57924878,-121.4626901
3,712,1299,38.58370044,-121.5008344
5,1365,7000,38.4957722,-121.472256
5,1512,2299,38.47392033,-121.49508
3,851,1212,38.5680901,-121.4670272
2,216,2404,38.65460722,-121.4291378
